"","Family","Loc","GID","GM_Trial","BLUE_Yield_corrected","BLUE_Moisture"
"937","20009419-2984004","RIDGWAY_1","GID100020040837",39,3926.85938901947,10.4612317930319
"940","20009479-3473863","RIDGWAY_1","GID100020042159",39,3769.77498273436,11.2943550931065
"946","20009416-2984004","RIDGWAY_1","GID100020042186",39,2739.3812295128,10.6147872616056
"948","20009497-2984004","RIDGWAY_1","GID100020042219",39,3556.14170501877,10.6213161224003
"949","20009416-2984004","RIDGWAY_1","GID100020042241",42,3672.93067237114,11.48493728684
"951","20009479-3473863","RIDGWAY_1","GID100020042302",41,3871.28800520647,10.9472835617241
"952","20009490-2984004","RIDGWAY_1","GID100020042309",39,3710.05929900954,10.8313255293084
"953","20001789-2984004","RIDGWAY_1","GID100020042311",40,2661.14546255416,10.5848079040278
"955","20009472-3472667","RIDGWAY_1","GID100020042313",39,2250.05390648364,10.7582561462444
"956","20009479-10020419721","RIDGWAY_1","GID100020042323",40,3542.09874154153,10.431820660433
"957","20009472-10020419721","RIDGWAY_1","GID100020042327",38,3769.77512232534,11.3643550823796
"962","20009489-2984004","RIDGWAY_1","GID100020042354",38,3787.68336083549,10.4701306337762
"963","20009479-3473863","RIDGWAY_1","GID100020042359",39,3069.17330532933,11.244518816895
"966","20009472-10020419721","RIDGWAY_1","GID100020042398",39,3453.7719223147,10.545597180956
"975","20009489-2984004","RIDGWAY_1","GID100020042625",42,3218.90202881731,11.184490081541
"976","20009497-2984004","RIDGWAY_1","GID100020042627",40,3569.33163751034,11.2847316803304
"978","20009472-10020419721","RIDGWAY_1","GID100020042637",38,2955.48514790477,10.9743551151881
"979","20009497-2984004","RIDGWAY_1","GID100020042643",39,2791.42692545307,11.225758351375
"982","20009497-2984004","RIDGWAY_1","GID100020042651",40,3806.31200502462,10.7071740914137
"986","20009419-2984004","RIDGWAY_1","GID100020042666",39,3027.9834240737,10.4674004664219
"987","20009416-2984004","RIDGWAY_1","GID100020042667",39,2938.62929923478,11.1513255293084
"988","20009479-3473863","RIDGWAY_1","GID100020042670",41,3834.89209811421,10.3971740864686
