"","A1257","A1258","A1259","A1260","A1261","A1262","A1263","A1264","A1265","A1267","A1268","A1269","A1270","A1272","A1273","A1274","A1275","A1276","A1277","A1279","A1302","A1304","A1307","A1309","A1310","A1311","A1312","A1313","A1314","A1316","A1317","A1318","A1319","A1320","A1321","B1005","B1007","B1008","B1009","B1010","B1011","B1012","B1019","B1053","B1055","B1057","B1058","B1060","B1061","B1062","B1075","B1102","B1103","B1104","B1105","B1106","B1107","B1110","B1111","B1151","B1152","B1153","B1155","B1157","B1158","B1159","B1160","B1161","B1201","B1202","B1203","B1205","B1206","B1207","B1208","B1209","B1210","B1211","B1216","B1217","B1218","B1219","B1220","M1345","M1347","M1351","M1353","M1354","M1356","M1357","M1358","M1359","M1360","M1361","M1362","M1363","M1364","M1365","M1366","M1367","M1368","M1463","M1464","M1465","M1467","M1469","M1471"
"A1311",1.64285,1.7188,1.5982,1.62111,1.61562,1.60593,1.64858,1.62376,1.64728,1.62881,1.68727,1.68067,1.63448,1.68828,1.69586,1.65753,1.6288,1.61946,1.62648,1.66699,1.82942,1.73287,1.67154,1.67456,1.66832,2,1.67551,1.67893,1.63991,1.5769,1.69707,1.6521,1.65119,1.62923,1.62149,1.61715,1.59559,1.59855,1.57805,1.68905,1.62915,1.57704,1.67189,1.5329,1.6777,1.66917,1.63043,1.61769,1.59177,1.59497,1.603,1.62434,1.66114,1.6218,1.63922,1.63267,1.60832,1.56659,1.58365,1.58819,1.66212,1.65596,1.58084,1.65187,1.58791,1.6136,1.61657,1.61669,1.67903,1.63333,1.64209,1.67517,1.64627,1.66628,1.60872,1.6584,1.56057,1.72115,1.64033,1.58678,1.61276,1.58991,1.65798,1.52424,1.59281,1.62056,1.61894,1.62298,1.62241,1.61989,1.59006,1.59391,1.61634,1.62277,1.61485,1.55778,1.61128,1.60437,1.65606,1.58288,1.59095,1.56412,1.61224,1.53244,1.61912,1.61066,1.68192
"A1312",1.71659,1.6663,1.62744,1.68895,1.73919,1.58335,1.70308,1.68124,1.66019,1.70284,1.68425,1.73602,1.68381,1.64281,1.70538,1.64977,1.65262,1.65632,1.6714,1.6718,1.64896,1.65963,1.91555,1.90677,1.91532,1.67551,2,1.80599,1.6668,1.62587,1.66784,1.64046,1.63727,1.66223,1.59959,1.64853,1.62811,1.58023,1.60265,1.76062,1.69381,1.64792,1.66129,1.61432,1.725,1.69098,1.69222,1.6946,1.65783,1.71041,1.66107,1.6491,1.71703,1.68781,1.66124,1.68856,1.66076,1.61648,1.60215,1.63273,1.68951,1.74206,1.61339,1.66184,1.62797,1.64755,1.64026,1.67709,1.63763,1.59567,1.55097,1.6207,1.67778,1.66364,1.68397,1.73084,1.5932,1.68027,1.67506,1.62106,1.73285,1.71551,1.71494,1.54014,1.68317,1.61373,1.61253,1.61526,1.61455,1.61341,1.56397,1.59816,1.61266,1.61599,1.80162,1.66824,1.63858,1.59683,1.59695,1.60923,1.64586,1.57095,1.74626,1.58557,1.70334,1.67989,1.68358
"A1313",1.76845,1.69394,1.66401,1.72757,1.71524,1.57606,1.70414,1.70454,1.69426,1.71137,1.74836,1.76045,1.70758,1.72341,1.71666,1.68791,1.67618,1.6619,1.68016,1.66392,1.66057,1.68736,1.80484,1.80627,1.80632,1.67893,1.80599,2,1.71557,1.67474,1.69452,1.67895,1.68677,1.67375,1.62327,1.66062,1.6263,1.64311,1.65049,1.77077,1.74058,1.64115,1.69655,1.61504,1.74784,1.70647,1.67215,1.69102,1.63917,1.72181,1.71284,1.70595,1.72482,1.7036,1.65959,1.73867,1.65593,1.60533,1.60047,1.65277,1.73099,1.74689,1.62971,1.65718,1.65776,1.64026,1.64334,1.65724,1.61767,1.59949,1.58966,1.64426,1.64269,1.68091,1.65215,1.73352,1.60111,1.67988,1.69181,1.58885,1.7414,1.70145,1.72386,1.5435,1.71404,1.60711,1.60609,1.61071,1.61004,1.60796,1.57741,1.6106,1.58911,1.61008,1.70116,1.64709,1.64635,1.61896,1.64673,1.64079,1.66151,1.56661,1.71404,1.60358,1.70319,1.68026,1.70743
"A1314",1.68076,1.63688,1.59686,1.66841,1.61019,1.55464,1.69361,1.64102,1.62624,1.68634,1.71892,1.69564,1.64629,1.68692,1.66877,1.65711,1.63101,1.64785,1.63605,1.58348,1.68085,1.62295,1.65137,1.64893,1.64763,1.63991,1.6668,1.71557,2,1.59713,1.68081,1.65106,1.64071,1.65224,1.59803,1.62323,1.66917,1.61065,1.6183,1.73659,1.71544,1.57375,1.69024,1.61377,1.70963,1.67062,1.72366,1.69886,1.67517,1.66779,1.66088,1.68609,1.66236,1.69898,1.70306,1.69834,1.71388,1.68713,1.65714,1.59632,1.66884,1.67202,1.67952,1.66606,1.73158,1.71701,1.69866,1.67007,1.60252,1.71689,1.65222,1.61634,1.63904,1.66885,1.60617,1.67652,1.65476,1.64472,1.64199,1.56705,1.61841,1.57452,1.66072,1.5378,1.59738,1.57024,1.56845,1.57102,1.57084,1.57068,1.59174,1.55879,1.58435,1.57234,1.60126,1.57859,1.63941,1.55353,1.63107,1.61629,1.631,1.60684,1.64473,1.60202,1.64029,1.66957,1.71715
"A1316",1.74332,1.66094,1.67607,1.61472,1.58323,1.52127,1.66308,1.68963,1.69851,1.65527,1.62579,1.62358,1.61717,1.7085,1.68168,1.71206,1.60709,1.61873,1.61451,1.64465,1.59127,1.62296,1.63984,1.63794,1.63629,1.5769,1.62587,1.67474,1.59713,2,1.64987,1.6349,1.63308,1.61605,1.60988,1.66663,1.60628,1.68616,1.681,1.66097,1.63947,1.69707,1.64065,1.64452,1.65027,1.60988,1.61735,1.62734,1.6228,1.70811,1.70427,1.69105,1.60744,1.62996,1.61454,1.69416,1.61817,1.59959,1.61653,1.64655,1.64888,1.58725,1.60728,1.64279,1.65201,1.57419,1.57401,1.62065,1.59661,1.59391,1.57274,1.62793,1.63944,1.62034,1.64548,1.73885,1.58014,1.6316,1.65401,1.61699,1.58653,1.54688,1.65155,1.52372,1.63032,1.59053,1.58894,1.59311,1.5928,1.59138,1.60769,1.6093,1.58494,1.59237,1.62902,1.56862,1.65129,1.61824,1.61566,1.59189,1.62721,1.59263,1.62188,1.664,1.6197,1.60903,1.66105
"A1317",1.71268,1.70448,1.63881,1.74001,1.66187,1.61291,1.71236,1.66162,1.74051,1.74697,1.73734,1.69994,1.65334,1.70095,1.74648,1.67679,1.66123,1.68908,1.65313,1.67033,1.68559,1.6963,1.66532,1.66428,1.66226,1.69707,1.66784,1.69452,1.68081,1.64987,2,1.81873,1.8242,1.69867,1.63675,1.65134,1.64561,1.67354,1.65056,1.77464,1.70806,1.61597,1.74285,1.60306,1.7348,1.67474,1.67274,1.73361,1.67931,1.69262,1.69728,1.74278,1.67061,1.71717,1.67482,1.71681,1.64048,1.61499,1.63174,1.65774,1.75868,1.66937,1.65162,1.66998,1.66765,1.64526,1.66424,1.65192,1.65776,1.61149,1.6248,1.6985,1.69466,1.73111,1.71188,1.75491,1.6114,1.69396,1.69475,1.64687,1.64464,1.59343,1.63615,1.52217,1.63263,1.63999,1.6396,1.64306,1.64339,1.64068,1.65682,1.65378,1.64403,1.64204,1.63212,1.58119,1.62329,1.6055,1.70343,1.68923,1.67338,1.61559,1.65099,1.61573,1.69016,1.68655,1.7056
"A1318",1.70203,1.69062,1.63711,1.79359,1.62911,1.59914,1.69008,1.70121,1.81377,1.7286,1.70844,1.7323,1.68801,1.7087,1.74892,1.67417,1.67842,1.72495,1.66439,1.68265,1.64458,1.66667,1.65112,1.64664,1.64725,1.6521,1.64046,1.67895,1.65106,1.6349,1.81873,2,1.92141,1.78324,1.6675,1.64249,1.65119,1.67332,1.65426,1.84367,1.7281,1.6216,1.82322,1.60002,1.82669,1.6509,1.62787,1.73149,1.6737,1.67752,1.776,1.77293,1.68387,1.72147,1.71515,1.73608,1.65195,1.61547,1.63499,1.63921,1.84078,1.73781,1.66757,1.69773,1.63889,1.63472,1.66395,1.6432,1.69197,1.63217,1.67395,1.66216,1.65614,1.70856,1.68016,1.7385,1.6073,1.67091,1.67164,1.61341,1.6258,1.59177,1.60638,1.51763,1.66853,1.64179,1.64084,1.64392,1.64414,1.64226,1.62577,1.65581,1.62751,1.64294,1.64675,1.60773,1.61733,1.59733,1.74445,1.7652,1.70998,1.65426,1.62399,1.61752,1.66997,1.75714,1.68199
"A1319",1.70695,1.67168,1.61614,1.76819,1.61781,1.58078,1.69232,1.67566,1.79317,1.72498,1.67311,1.71556,1.6695,1.69097,1.72454,1.65703,1.6613,1.69246,1.6701,1.67112,1.64966,1.65498,1.64688,1.64369,1.64502,1.65119,1.63727,1.68677,1.64071,1.63308,1.8242,1.92141,2,1.75447,1.65986,1.61337,1.63908,1.65559,1.65292,1.79851,1.74209,1.6092,1.78214,1.58055,1.79086,1.64095,1.63248,1.73336,1.67268,1.68204,1.74634,1.74251,1.68933,1.72403,1.70291,1.69401,1.67384,1.6082,1.63118,1.62704,1.81758,1.72734,1.68151,1.68635,1.63644,1.64682,1.67194,1.63227,1.68491,1.62485,1.64406,1.65352,1.65982,1.70871,1.68507,1.72918,1.59355,1.67705,1.67118,1.60458,1.60825,1.59528,1.6185,1.5406,1.68292,1.65355,1.65277,1.65605,1.65617,1.65385,1.62519,1.65742,1.64575,1.65499,1.64198,1.62944,1.61127,1.59417,1.73714,1.71301,1.70892,1.65126,1.61634,1.60706,1.66899,1.74697,1.68097
"A1320",1.68652,1.70113,1.64395,1.80404,1.65323,1.53248,1.66933,1.70142,1.7726,1.72113,1.71195,1.75759,1.71058,1.70346,1.71807,1.70063,1.78045,1.78094,1.77212,1.66774,1.65188,1.62359,1.64374,1.63973,1.64262,1.62923,1.66223,1.67375,1.65224,1.61605,1.69867,1.78324,1.75447,2,1.68007,1.65609,1.69394,1.62074,1.61832,1.83602,1.75669,1.62268,1.76353,1.56855,1.81825,1.59759,1.63703,1.73162,1.6581,1.64452,1.76918,1.70497,1.63229,1.70648,1.69046,1.72471,1.62681,1.64476,1.63871,1.58166,1.81675,1.69906,1.61399,1.73304,1.56291,1.60787,1.60109,1.64602,1.63159,1.65591,1.65006,1.6421,1.63324,1.71155,1.65162,1.71274,1.63421,1.70523,1.67535,1.56993,1.62096,1.60486,1.59859,1.51668,1.62124,1.56946,1.56859,1.57252,1.57229,1.56991,1.627,1.61463,1.56776,1.57068,1.60792,1.62062,1.59235,1.62669,1.68866,1.73976,1.65744,1.60482,1.63056,1.54861,1.67455,1.7186,1.61237
"A1321",1.69661,1.64342,1.65402,1.64153,1.62184,1.6097,1.67577,1.66408,1.69239,1.65664,1.62355,1.65652,1.68727,1.71138,1.69316,1.70814,1.62356,1.63619,1.62638,1.62905,1.65276,1.64007,1.61169,1.60948,1.60954,1.62149,1.59959,1.62327,1.59803,1.60988,1.63675,1.6675,1.65986,1.68007,2,1.66562,1.65212,1.67565,1.67815,1.69102,1.66227,1.65487,1.65191,1.59015,1.66585,1.65894,1.65927,1.67181,1.67162,1.60646,1.62568,1.6539,1.61374,1.64913,1.62338,1.63577,1.60961,1.66419,1.67657,1.62435,1.70052,1.61758,1.64218,1.66425,1.59073,1.62124,1.6473,1.67082,1.6451,1.66924,1.69128,1.69653,1.66179,1.66324,1.62405,1.67248,1.69274,1.64944,1.65575,1.60717,1.60482,1.58351,1.56222,1.49868,1.6202,1.59779,1.59769,1.60132,1.60112,1.59926,1.64035,1.61862,1.6047,1.59986,1.56584,1.56066,1.59292,1.66129,1.61694,1.64684,1.63293,1.61535,1.62296,1.5798,1.6107,1.62426,1.62203
"B1005",1.71964,1.68136,1.84425,1.62261,1.63955,1.55038,1.66169,1.76866,1.66389,1.71713,1.67478,1.67084,1.66052,1.75963,1.74394,1.77792,1.64842,1.65628,1.64153,1.63307,1.59854,1.62464,1.6356,1.635,1.63646,1.61715,1.64853,1.66062,1.62323,1.66663,1.65134,1.64249,1.61337,1.65609,1.66562,2,1.7034,1.6495,1.64329,1.71993,1.6693,1.76519,1.67873,1.65045,1.67519,1.66585,1.7009,1.69085,1.65488,1.66364,1.65413,1.65356,1.63119,1.67722,1.63803,1.68984,1.62099,1.68824,1.7027,1.72039,1.67215,1.60663,1.63055,1.7017,1.6216,1.63588,1.61945,1.66122,1.63752,1.6235,1.63295,1.71498,1.64265,1.72515,1.67719,1.78497,1.61983,1.62738,1.66727,1.61465,1.64975,1.6054,1.62367,1.49504,1.63673,1.58094,1.57978,1.58387,1.5827,1.58051,1.59204,1.5906,1.56069,1.58101,1.63826,1.59884,1.68376,1.6911,1.64902,1.64869,1.64997,1.58671,1.63964,1.58387,1.66042,1.65084,1.64133
"B1007",1.66089,1.61976,1.63927,1.67829,1.61295,1.55609,1.70684,1.64476,1.65775,1.75033,1.64898,1.65276,1.62003,1.69119,1.65969,1.66182,1.65956,1.62637,1.62711,1.6111,1.57896,1.59434,1.63485,1.63357,1.63132,1.59559,1.62811,1.6263,1.66917,1.60628,1.64561,1.65119,1.63908,1.69394,1.65212,1.7034,2,1.66452,1.61749,1.7,1.68018,1.60424,1.65801,1.59678,1.66328,1.61129,1.75919,1.686,1.69756,1.66394,1.60147,1.67047,1.67671,1.66933,1.66654,1.63418,1.6618,1.71548,1.71104,1.61178,1.65073,1.61671,1.67517,1.66177,1.64413,1.74724,1.66506,1.70376,1.63095,1.69983,1.63539,1.62824,1.62046,1.67626,1.67393,1.72717,1.75269,1.645,1.6461,1.54848,1.6065,1.5924,1.5751,1.52676,1.62863,1.61927,1.61889,1.62129,1.62137,1.62094,1.59747,1.61125,1.64181,1.6211,1.6041,1.59469,1.60346,1.64492,1.64374,1.63559,1.67014,1.62168,1.65201,1.58326,1.66326,1.71263,1.68826
"B1008",1.71948,1.61936,1.6494,1.62746,1.57459,1.62317,1.66641,1.63109,1.72608,1.70553,1.65809,1.6254,1.6069,1.68847,1.66805,1.6701,1.63923,1.63146,1.6205,1.61812,1.59707,1.60955,1.60029,1.59749,1.59615,1.59855,1.58023,1.64311,1.61065,1.68616,1.67354,1.67332,1.65559,1.62074,1.67565,1.6495,1.66452,2,1.84169,1.66489,1.60782,1.63247,1.68911,1.65969,1.64971,1.62645,1.67165,1.64401,1.67682,1.6894,1.63314,1.69323,1.64747,1.61802,1.64957,1.69313,1.63103,1.64257,1.66452,1.62946,1.65124,1.62692,1.67099,1.62084,1.64812,1.66457,1.62532,1.66628,1.64858,1.61978,1.61926,1.62122,1.63374,1.63845,1.63183,1.69792,1.67924,1.64986,1.66567,1.58903,1.57068,1.54262,1.57606,1.47922,1.62315,1.59451,1.59363,1.59707,1.59672,1.59536,1.59322,1.6269,1.6263,1.59629,1.62737,1.57379,1.61492,1.59182,1.65819,1.60969,1.66385,1.63497,1.5898,1.6407,1.61585,1.67448,1.66889
"B1009",1.73046,1.63051,1.64385,1.61672,1.60272,1.58891,1.61416,1.63927,1.69943,1.66308,1.64928,1.62732,1.65372,1.65714,1.66617,1.65471,1.64725,1.66059,1.65353,1.61916,1.58568,1.58154,1.61506,1.61083,1.60989,1.57805,1.60265,1.65049,1.6183,1.681,1.65056,1.65426,1.65292,1.61832,1.67815,1.64329,1.61749,1.84169,2,1.6654,1.62654,1.68512,1.66118,1.60108,1.67258,1.66916,1.65328,1.66134,1.61222,1.70209,1.64824,1.64074,1.63384,1.59884,1.61831,1.69727,1.6555,1.64624,1.65628,1.60434,1.65652,1.65173,1.64825,1.63376,1.62602,1.62139,1.62697,1.64276,1.61258,1.59194,1.65018,1.62583,1.62242,1.60568,1.61528,1.66585,1.61402,1.64532,1.66292,1.57977,1.58391,1.57779,1.55951,1.51858,1.62877,1.60067,1.60004,1.60334,1.60399,1.60152,1.59521,1.64308,1.59338,1.60362,1.6389,1.58283,1.60063,1.62513,1.64417,1.64551,1.64358,1.62887,1.63884,1.7014,1.64331,1.66152,1.64407
"B1010",1.74779,1.7503,1.70102,1.85425,1.73024,1.59096,1.73284,1.75214,1.82535,1.82037,1.81624,1.87075,1.80461,1.74779,1.77598,1.72945,1.76905,1.79423,1.7513,1.67653,1.69101,1.6919,1.75593,1.75263,1.7538,1.68905,1.76062,1.77077,1.73659,1.66097,1.77464,1.84367,1.79851,1.83602,1.69102,1.71993,1.7,1.66489,1.6654,2,1.78808,1.67129,1.83676,1.65411,1.90429,1.68688,1.68629,1.85276,1.7503,1.72161,1.85449,1.82135,1.73147,1.76844,1.75273,1.84,1.68971,1.64793,1.6478,1.67194,1.87079,1.82925,1.67584,1.7661,1.6617,1.65738,1.69407,1.70198,1.67883,1.65209,1.62579,1.6954,1.69469,1.77297,1.71572,1.79775,1.63294,1.75146,1.75233,1.64774,1.71933,1.6971,1.70869,1.56406,1.66858,1.61971,1.61804,1.62186,1.62188,1.61984,1.62561,1.60059,1.62716,1.62161,1.67516,1.68764,1.68604,1.64148,1.7363,1.80017,1.74865,1.62299,1.70584,1.62507,1.7702,1.77679,1.69325
"B1011",1.71511,1.71631,1.64287,1.79518,1.64776,1.54872,1.70969,1.68386,1.7407,1.72257,1.70463,1.71745,1.66629,1.73417,1.72806,1.67783,1.736,1.75043,1.73937,1.65417,1.62646,1.66296,1.70038,1.69366,1.69803,1.62915,1.69381,1.74058,1.71544,1.63947,1.70806,1.7281,1.74209,1.75669,1.66227,1.6693,1.68018,1.60782,1.62654,1.78808,2,1.61811,1.76034,1.59425,1.78401,1.6308,1.70883,1.7623,1.68566,1.69497,1.75592,1.71227,1.67017,1.82162,1.71446,1.72376,1.67742,1.65047,1.66257,1.62497,1.7914,1.71351,1.64651,1.73993,1.65596,1.70352,1.68389,1.67695,1.65506,1.67048,1.66221,1.6568,1.66755,1.77035,1.66499,1.71556,1.6419,1.68913,1.72963,1.60265,1.6412,1.59081,1.65648,1.52964,1.67536,1.60566,1.60411,1.60797,1.60786,1.60597,1.61287,1.5911,1.61973,1.60694,1.6183,1.63902,1.65146,1.61311,1.72723,1.69288,1.67804,1.66166,1.61963,1.60717,1.71077,1.71691,1.71853
"B1012",1.74306,1.70454,1.81774,1.58775,1.62144,1.5465,1.62535,1.80754,1.6617,1.67513,1.66472,1.66248,1.68767,1.7236,1.74953,1.75768,1.64731,1.6609,1.66513,1.66037,1.55723,1.59731,1.62972,1.62883,1.62549,1.57704,1.64792,1.64115,1.57375,1.69707,1.61597,1.6216,1.6092,1.62268,1.65487,1.76519,1.60424,1.63247,1.68512,1.67129,1.61811,2,1.62783,1.68543,1.65064,1.65884,1.65064,1.64264,1.60635,1.6547,1.63997,1.63577,1.62736,1.6504,1.6308,1.65636,1.60026,1.67782,1.70338,1.68055,1.66785,1.58221,1.6012,1.69943,1.58095,1.57775,1.64264,1.63475,1.59125,1.5755,1.58726,1.67778,1.64562,1.70044,1.6403,1.75872,1.57657,1.61869,1.63404,1.61782,1.61716,1.59341,1.59254,1.48828,1.64021,1.5573,1.55581,1.55931,1.55971,1.55723,1.57708,1.58122,1.55855,1.5585,1.64679,1.59625,1.71368,1.67742,1.57741,1.63773,1.63387,1.59695,1.6729,1.61161,1.63458,1.63068,1.61748
"B1019",1.70896,1.69143,1.65536,1.77362,1.64373,1.57946,1.68304,1.68357,1.80344,1.75714,1.72574,1.72594,1.66432,1.70765,1.75761,1.69598,1.69954,1.73879,1.68879,1.66717,1.68911,1.65593,1.65965,1.65424,1.65582,1.67189,1.66129,1.69655,1.69024,1.64065,1.74285,1.82322,1.78214,1.76353,1.65191,1.67873,1.65801,1.68911,1.66118,1.83676,1.76034,1.62783,2,1.62366,1.82104,1.62502,1.64226,1.7216,1.69888,1.69053,1.84223,1.75629,1.67982,1.72557,1.72855,1.78257,1.67432,1.61477,1.65011,1.62312,1.79864,1.72,1.62656,1.71012,1.64336,1.64962,1.64932,1.64874,1.68624,1.63719,1.66739,1.67172,1.66083,1.77261,1.65366,1.71749,1.60957,1.68166,1.68531,1.62405,1.61978,1.56914,1.63651,1.5177,1.65072,1.6096,1.60917,1.61229,1.61224,1.61078,1.61079,1.61275,1.61957,1.61121,1.62475,1.61763,1.67156,1.60016,1.75865,1.75666,1.69772,1.66167,1.59984,1.6165,1.70266,1.76052,1.66901
