"","Line","Env","y.pheno"
"680","M1357",7,3100.5
"681","M1358",7,3181
"682","M1359",7,2322.5
"683","M1360",7,3695.5
"684","M1361",7,3255.5
"685","B1209",7,3016
"686","B1210",7,2887
"687","B1103",7,2911
"688","B1153",7,2831.5
"689","B1005",7,3325.5
"690","B1104",7,3522.5
"691","B1105",7,3225
"692","B1055",7,3052.5
"693","B1106",7,3160
"694","B1107",7,2962.5
"695","B1211",7,2328
"696","A1264",7,3128
"697","A1265",7,2818.5
"698","A1316",7,3331.5
"699","A1269",7,3128
"700","A1273",7,3095.5
"701","A1274",7,4008.5
"702","A1275",7,3036.5
"703","A1276",7,3178
"704","A1279",7,2347.5
"705","M1367",7,2621.5
"706","B1155",7,2618.5
"707","B1057",7,2994.5
"708","B1157",7,2642
"709","B1011",7,2891
"710","A1267",7,3550
"711","A1272",7,3161.5
"712","A1270",7,3085
"713","A1277",7,3519.5
"714","A1321",7,3055.5
"715","A1317",7,2925.5
"716","A1318",7,3203
"717","A1319",7,2954
"718","A1320",7,2608.5
"719","A1268",7,3300
"720","M1362",7,2852.5
"721","M1363",7,3185.5
"722","M1347",7,2436.5
"723","M1364",7,2880
"724","M1365",7,2857.5
"725","M1368",7,3251.5
"726","M1366",7,3065.5
"727","B1216",7,2310
"728","B1007",7,3072
"729","B1008",7,2734
"730","B1009",7,2920
"731","B1158",7,2618
"732","B1159",7,2642.5
"733","B1160",7,3128
"734","B1110",7,3219
"735","B1111",7,2794.5
"736","B1161",7,2658.5
"737","B1062",7,2943
"738","B1010",7,3123
"739","B1217",7,3208
"740","B1218",7,2871.5
"741","B1219",7,3082.5
"742","B1220",7,2715.5
"743","B1058",7,3274
"744","B1060",7,2440
"745","B1061",7,2291
"746","B1012",7,3125.5
"747","B1019",7,3422
"748","B1075",7,2422
"749","A1259",7,2890.5
"750","M1463",8,3271
"751","A1257",8,3023.66666666667
"752","A1258",8,3135.66666666667
"753","A1302",8,3047
"754","M1464",8,2567
"755","A1261",8,2901.33333333333
"756","A1262",8,3386.33333333333
"757","M1467",8,2901.33333333333
"758","B1053",8,3093
"759","A1260",8,3084
"760","M1465",8,2660
"761","M1469",8,3232.66666666667
"762","A1304",8,3053.66666666667
"763","M1471",8,3043.66666666667
"764","A1263",8,2991.66666666667
"765","B1201",8,2474
"766","B1202",8,2828.33333333333
"767","B1203",8,3184.66666666667
"768","B1102",8,2939.33333333333
"769","B1205",8,2835.33333333333
"770","B1151",8,2929.66666666667
"771","B1206",8,3089.33333333333
"772","B1152",8,3166
"773","B1207",8,3081.33333333333
"774","B1208",8,2735.33333333333
"775","A1307",8,2933.66666666667
"776","A1309",8,3207.33333333333
"777","A1310",8,3296
"778","A1313",8,2303.33333333333
"779","A1314",8,3291.66666666667
"780","A1311",8,2738.33333333333
"781","A1312",8,2725.33333333333
"782","M1345",8,1968.66666666667
"783","M1351",8,2629.33333333333
"784","M1353",8,3259.66666666667
"785","M1354",8,2841
"786","M1356",8,2784.66666666667
"787","M1357",8,3367.33333333333
"788","M1358",8,2557.66666666667
"789","M1359",8,2420.66666666667
"790","M1360",8,2994.66666666667
"791","M1361",8,2854.33333333333
"792","B1209",8,2596.33333333333
"793","B1210",8,3017.33333333333
"794","B1103",8,2938.33333333333
"795","B1153",8,2847.66666666667
"796","B1005",8,3150.33333333333
"797","B1104",8,2840.33333333333
"798","B1105",8,2800.33333333333
"799","B1055",8,2972.66666666667
"800","B1106",8,3016
"801","B1107",8,3104
"802","B1211",8,2862.66666666667
"803","A1264",8,2993.66666666667
"804","A1265",8,3063.33333333333
"805","A1316",8,3186.66666666667
"806","A1269",8,2926.66666666667
"807","A1273",8,2942.66666666667
"808","A1274",8,3398.66666666667
"809","A1275",8,2975.33333333333
"810","A1276",8,3232.66666666667
"811","A1279",8,2535.33333333333
"812","M1367",8,2863.66666666667
"813","B1155",8,2759.33333333333
"814","B1057",8,2391
"815","B1157",8,3166.33333333333
"816","B1011",8,2710
"817","A1267",8,3190.66666666667
"818","A1272",8,2978.33333333333
"819","A1270",8,3035
"820","A1277",8,3000
"821","A1321",8,2385
"822","A1317",8,3514
"823","A1318",8,2775.66666666667
