Line,YR.glass,yield,height,YR.field,FUS,MIL,FT
WSNP92K.051.04867,2.564,7.377,60,4,5,2,42
WSNP92K.048.04529,2.583,8.87,74,3,4,5,35
WSNP92K.048.04530,3.109,7.389,81,3,3,1,37
WSNP92K.051.04868,3.029,6.801,73,4,4,2,41
WSNP92K.048.04531,3.069,7.569,65,4,6,3,36
WSNP92K.048.04532,2.144,5.933,68,2,6,4,31
WSNP92K.048.04533,2.928,8.717,76,2,3,3,34
WSNP92K.051.04869,3.068,7.329,75,2,3,5,39
WSNP92K.048.04534,3.177,7.559,78,3,3,4,38
WSNP92K.048.04535,2.687,6.97,78,4,3,2,33
WSNP92K.048.04536,2.185,7.947,60,1,3,1,29
WSNP92K.048.04537,2.687,7.783,77,4,4,1,31.43553459
WSNP92K.051.04870,2.822,6.409,87,2,3,1,33
WSNP92K.048.04538,2.451,7.762,95,2,2,5,37
WSNP92K.048.04539,2.694,7.831,91,2,5,2,31.43553459
WSNP92K.048.04540,3.036,8.37,82,3,4,4,31.43553459
WSNP92K.051.04871,2.933,8.026,82,3,3,3,39
WSNP92K.048.04541,2.81,6.011,87,3,3,2,37
WSNP92K.048.04542,2.159,6.608,84,2,3,2,32
WSNP92K.048.04543,2.456,6.226,76,2,4,3,31.43553459
WSNP92K.048.04544,2.444,8.479,71,4,4,3,31.43553459
WSNP92K.048.04545,2.436,9.105,58,3,5,3,21
WSNP92K.051.04872,1.308,6.197,66,1,4,1,23
WSNP92K.048.04546,2.591,6.838,70,2,6,1,37
WSNP92K.048.04547,2.583,8.262,70,2,5,2,30
WSNP92K.048.04548,2.934,8.281,69,4,4,6,39
WSNP92K.048.04549,2.687,7.134,59,2,4,2,36
WSNP92K.051.04873,2.81,7.032,73,2,3,2,37
WSNP92K.048.04550,2.305,6.139,86,1,4,1,37
WSNP92K.048.04551,2.981,7.476437677,87,1,4,2,41
WSNP92K.048.04552,3.13,7.049,73,3,3,3,37
WSNP92K.048.04553,2.19,7.476437677,85,1,3,1,41
WSNP92K.048.04554,2.604,6.106,77,2,5,3,34
WSNP92K.048.04555,1.791,6.492,90,2,3,2,42
WSNP92K.048.04556,-0.002,7.525,93,1,3,1,36
WSNP92K.048.04557,3.088,7.779,86,3,3,4,32
WSNP92K.048.04558,2.568,7.632,77,2,3,1,32
WSNP92K.048.04559,1.583,8.023,73,2,5,2,31
WSNP92K.051.04874,1.991,7.328,66,1,5,1,30
WSNP92K.048.04560,2.707,7.499,87,2,2,2,33
WSNP92K.048.04561,1.822,6.117,69,1,2,1,42
WSNP92K.051.04875,2.726,8.373,85,3,2,3,33
WSNP92K.048.04562,2.182,6.819,76,1,2,1,28
WSNP92K.048.04563,2.822,7.655,95,1,3,1,31
WSNP92K.048.04564,2.998,7.973,76,1,3,1,36
WSNP92K.048.04565,2.511079137,8.723,53,1,3,2,41
WSNP92K.048.04566,2.696,7.284,91,2,5,1,36
WSNP92K.051.04876,2.323,6.015,89,1,3,1,34
WSNP92K.048.04567,1.312,6.343,80,1,4,1,35
WSNP92K.048.04568,1.823,7.157,64,1,2,1,37
WSNP92K.048.04569,2.935,7.93,73,3,4,1,23
WSNP92K.048.04570,2.832,6.695,46,3,5,4,41
WSNP92K.048.04571,3.084,9.295,82,3,6,1,29
WSNP92K.051.04877,2.578,7.685,90,2,4,2,41
WSNP92K.048.04572,2.68,7.425,82,4,6,2,36
WSNP92K.048.04573,2.984,6.615,51,4,5,1,20
WSNP92K.048.04574,2.276,6.507,63,2,5,1,25
WSNP92K.048.04575,2.314,7.472,78,2,6,2,32
WSNP92K.048.04576,2.993,7.733,85,3,5,6,36
WSNP92K.051.04878,2.511079137,8.137,70,3,5,5,23
WSNP92K.051.04879,2.596,7.585,73,1,4,1,18
WSNP92K.048.04577,2.325,7.394,89,2,3,1,31
WSNP92K.048.04578,2.457,5.89,84,1,3,1,40
WSNP92K.048.04579,2.983,6.039,79,3,5,3,31.43553459
WSNP92K.048.04580,2.98,7.417,84,1,2,1,28
WSNP92K.048.04581,2.596,8.351,80,4,3,3,21
WSNP92K.051.04880,3.011,8.418,81,2,5,2,34
WSNP92K.048.04582,2.16,5.197,98,3,5,2,18
WSNP92K.048.04583,3.011,6.817,88,4,5,2,23
WSNP92K.048.04584,3.096,8.143,77,2,2,2,33
WSNP92K.048.04585,2.438,5.937,66,1,4,1,31.43553459
WSNP92K.051.04881,2.811,7.898,76,3,4,3,34
WSNP92K.048.04586,2.678,8.225,69,2,4,1,33
WSNP92K.048.04587,2.565,8.114,68,3,5,1,33
WSNP92K.048.04588,1.578,7.476437677,76,3,2,1,39
WSNP92K.048.04589,2.661,5.835,67,3,2,4,44
WSNP92K.048.04590,2.688,7.109,79,2,3,1,38
WSNP92K.051.04882,1.785,8.245,82,2,3,1,36
WSNP92K.048.04591,2.569,7.289,78,2,3,2,31.43553459
WSNP92K.048.04592,2.807,7.275,98,1,5,1,31
WSNP92K.051.04883,2.8,7.299,66,4,5,4,35
WSNP92K.048.04593,1.791,6.16,73,2,2,1,36
WSNP92K.048.04594,2.806,6.303,66,4,6,1,43
WSNP92K.048.04595,3.096,8.104,81,3,3,1,42
WSNP92K.048.04596,2.164,8.379,70,2,4,5,31.43553459
WSNP92K.051.04884,1.583,6.507,64,2,4,4,32
WSNP92K.048.04597,1.785,6.534,77,1,3,1,35
WSNP92K.048.04598,2.457,7.656,70,1,4,1,28
WSNP92K.048.04599,1.596,6.048,70,1,4,1,21
WSNP92K.048.04600,2.984,7.287,76,2,3,1,36
WSNP92K.048.04601,2.896,7.273,68,3,5,7,31
WSNP92K.048.04602,2.596,8.633,88,1,2,1,21
